,PartitionKey,RowKey,Timestamp,message,etag
48,U1176626972d71dae893739ac322d3621,1582638298,2020-02-25 13:44:58.510035+00:00,ไข่พยาธิกลุ่มใด,"W/""datetime'2020-02-25T13%3A44%3A58.5100351Z'"""
49,U1176626972d71dae893739ac322d3621,1582638310,2020-02-25 13:45:10.907484+00:00,img : OV,"W/""datetime'2020-02-25T13%3A45%3A10.9074844Z'"""
50,U1176626972d71dae893739ac322d3621,1582638313,2020-02-25 13:45:13.771716+00:00,รู้ได้อย่างไรว่าติดพยาธิ,"W/""datetime'2020-02-25T13%3A45%3A13.771716Z'"""
51,U1176626972d71dae893739ac322d3621,1582638333,2020-02-25 13:45:33.065077+00:00,ลักษณะเด่นของไข่พยาธิ,"W/""datetime'2020-02-25T13%3A45%3A33.065077Z'"""
52,U1176626972d71dae893739ac322d3621,1582638344,2020-02-25 13:45:44.822389+00:00,img : Trichuris,"W/""datetime'2020-02-25T13%3A45%3A44.8223896Z'"""
53,U14d2ececec0d2fd69ba28bc033ab55ee,1582604268,2020-02-25 04:17:48.067921+00:00,ดี,"W/""datetime'2020-02-25T04%3A17%3A48.0679218Z'"""
54,U24ca88bb108681af394665b9279accc3,1582604260,2020-02-25 04:17:41.006573+00:00,สวัสดี,"W/""datetime'2020-02-25T04%3A17%3A41.0065735Z'"""
55,U24ca88bb108681af394665b9279accc3,1582604278,2020-02-25 04:17:58.780868+00:00,img : not a parasite image,"W/""datetime'2020-02-25T04%3A17%3A58.7808688Z'"""
56,U24ca88bb108681af394665b9279accc3,1582604419,2020-02-25 04:20:19.123389+00:00,img : Taenia,"W/""datetime'2020-02-25T04%3A20%3A19.1233893Z'"""
57,U24ca88bb108681af394665b9279accc3,1582605120,2020-02-25 04:32:00.691788+00:00,img : Ascaris,"W/""datetime'2020-02-25T04%3A32%3A00.6917886Z'"""
58,U24ca88bb108681af394665b9279accc3,1582605144,2020-02-25 04:32:24.967941+00:00,รู้ได้อย่างไรว่าติดพยาธิ,"W/""datetime'2020-02-25T04%3A32%3A24.9679411Z'"""
59,U24ca88bb108681af394665b9279accc3,1582605149,2020-02-25 04:32:29.337957+00:00,อาการ,"W/""datetime'2020-02-25T04%3A32%3A29.3379574Z'"""
60,U24ca88bb108681af394665b9279accc3,1582605154,2020-02-25 04:32:34.900213+00:00,ชนิดของไข่พยาธิ,"W/""datetime'2020-02-25T04%3A32%3A34.9002133Z'"""
61,U24ca88bb108681af394665b9279accc3,1582605190,2020-02-25 04:33:10.119033+00:00,img : Trichuris,"W/""datetime'2020-02-25T04%3A33%3A10.1190331Z'"""
